node_id,node_class,title
64,2,"Spherical nanoindentation stress–strain curves"
65,2,"Indentation hardness measurements at macro-, micro-, and nanoscale: a critical overview"
66,3,"Characterization of nickel-based microlattice materials with structural hierarchy from the nanometer to the millimeter scale"
67,3,"Recent search for new superhard materials: Go nano!"
68,3,"Optimization and characterization of high velocity oxy-fuel sprayed coatings: techniques, materials, and applications"
69,3,"Bond and interfacial properties of reinforcement in self-compacting concrete"
70,2,"Mechanical properties of cortical bone and their relationships with age, gender, composition and microindentation properties in the elderly"
71,3,"Design of antibacterial surfaces and interfaces: polyelectrolyte multilayers as a multifunctional platform"
72,3,"Nanogranular origin of concrete creep"
73,3,"A practical guide for analysis of nanoindentation data"
74,3,"Does microstructure matter for statistical nanoindentation techniques?"
75,3,"Probing mechanical properties of fully hydrated gels and biological tissues"
76,3,"Recent development and application products of bulk glassy alloys"
77,3,"Bulk metallic glass: the smaller the better"
78,3,"Bulk Metallic Glasses with Functional Physical Properties"
79,3,"Local elastic properties of a metallic glass"
80,3,"Metallic glass matrix composites"
81,3,"Characterization of nanoscale mechanical heterogeneity in a metallic glass by dynamic force microscopy"
82,3,"Deformation of metallic glasses: Recent developments in theory, simulations, and experiments"
83,3,"Relating activation of shear transformation zones to  relaxations in metallic glasses"
84,3,"Self-organized intermittent plastic flow in bulk metallic glasses"
85,3,"Self-organized intermittent plastic flow in bulk metallic glasses"
86,3,"A review on ultra high performance concrete: Part I. Raw materials and mixture design"
87,3,"Application of nanoindentation testing to study of the interfacial transition zone in steel fiber reinforced mortar"
88,3,"Using origami design principles to fold reprogrammable mechanical metamaterials"
89,3,"3D soft metamaterials with negative Poisson's ratio"
90,3,"Metamaterials beyond electromagnetism"
91,3,"Approaching theoretical strength in glassy carbon nanolattices"
92,3,"Nature-inspired structural materials for flexible electronic devices"
93,0,"Microstructures to control elasticity in 3D printing"
94,3,"Snapping mechanical metamaterials under tension"
95,3,"A numerical study of auxetic composite panels under blast loadings"
96,3,"Lattice Metamaterials with Mechanically Tunable Poisson’s Ratio for Vibration Control"
97,3,"Well-ordered nanohybrids and nanoporous materials from gyroid block copolymer templates"
98,2,"Design of planar isotropic negative Poisson's ratio structures"
99,3,"Three-dimensional modelling of auxetic sandwich panels for localised impact resistance"
100,0,"Additively-manufactured lightweight Metamaterials for energy absorption"
101,0,"3D printing by multiphase silicone/water capillary inks"
102,3,"Iron-based cathode catalyst with enhanced power density in polymer electrolyte membrane fuel cells"
103,3,"Zeolitic imidazolate framework materials: recent progress in synthesis and applications"
104,3,"Physico-mechanical characteristics of commercially available bulk-fill composites"
105,3,"Physical properties and depth of cure of a new short fiber reinforced composite"
106,2,"Characterization of viscoelastic properties of polymeric materials through nanoindentation"
107,3,"Contact creep compliance of viscoelastic materials via nanoindentation"
108,3,"Analytical techniques for indentation of viscoelastic materials"
109,2,"Viscoelastic characterization of polymers using instrumented indentation. I. Quasi‐static testing"
110,2,"Viscoelastic characterization of polymers using instrumented indentation. II. Dynamic testing"
111,0,"3d printing technologies applied for food design: Status and prospects"
112,3,"Resin composite—state of the art"
113,3,"Molecular toxicology of substances released from resin–based dental restorative materials"
114,3,"Polymer-nanoparticle composites: from synthesis to modern applications"
115,3,"A quantitative method for measuring nanocomposite dispersion"
116,3,"Nanodiamond–polymer composites"
117,3,"Nanoscale characterization of engineered cementitious composites (ECC)"
118,3,"Influence of surface-roughness on indentation size effect"
119,3,"Fluorescent PLLA-nanodiamond composites for bone tissue engineering"
120,3,"Deformation response of ferrite and martensite in a dual-phase steel"
121,3,"Mechanical properties of epoxy composites with high contents of nanodiamond"
122,3,"Ultralight, ultrastiff mechanical metamaterials"
123,3,"Strong, lightweight, and recoverable three-dimensional ceramic nanolattices"
124,3,"Multiscale metallic metamaterials"
125,3,"Metallic microlattice materials: A current state of the art on manufacturing, mechanical properties and applications"
126,3,"A reliable technique to determine the local mechanical properties at the nanoscale for cementitious materials"
127,3,"Glassy nature of water in an ultraconfining disordered material: the case of calcium− silicate− hydrate"
128,3,"A review of tissue-engineered skin bioconstructs available for skin reconstruction"
129,3,"Rejuvenation of metallic glasses by non-affine thermal strain"
130,3,"Microstructures and properties of high-entropy alloys"
131,3,"The fracture of bulk metallic glasses"
132,3,"Surface modification of inorganic nanoparticles for development of organic–inorganic nanocomposites—A review"
133,2,"Mechanical properties of nanoparticles: basics and applications"
134,3,"Polymer-based dielectrics with high energy storage density"
135,0,"Continuous liquid interface production of 3D objects"
136,0,"Design for Additive Manufacturing: Trends, opportunities, considerations, and constraints"
137,3,"Thermodynamics of water confined in porous calcium-silicate-hydrates"






